First Name,Last Name,Email,Courses,Grades,Marks
SrilakshmiNarayanaMurthy,,,"Math, English, History","A, A, B","88, 62, 99"
James,Franco,mariothornton@example.org,"History, Math, English","A, C, A","52, 85, 81"
Renee,Lamb,rbrown@example.org,"Math, English, History","D, B, F","89, 63, 97"
Gina,Williams,richard45@example.org,"History, English, Math","B, D, C","76, 58, 81"
Alejandro,Wells,mcdanielmichael@example.net,"History, English, Math","F, A, F","60, 66, 97"
Megan,Parks,howardnancy@example.com,"History, Math, English","B, F, D","54, 58, 96"
Becky,Figueroa,tammy94@example.com,"English, Math, History","F, B, C","73, 61, 50"
Gavin,Adams,timothy53@example.net,"History, Math, English","A, A, B","88, 62, 99"
John,White,bgomez@example.com,"Math, English, History","F, F, A","56, 70, 77"
Amber,Franklin,latoyawalker@example.com,"English, Math, History","B, F, C","85, 54, 86"
Matthew,Herrera,jamesamanda@example.net,"English, History, Math","C, B, B","70, 86, 93"
Brittany,Young,bryangrimes@example.org,"English, History, Math","B, B, B","97, 88, 52"
David,Nelson,patricia96@example.com,"English, History, Math","B, B, B","54, 82, 79"
Nicholas,York,ogreen@example.net,"Math, English, History","B, F, A","60, 80, 81"
Emily,Ferguson,robinsonpamela@example.net,"English, Math, History","D, D, B","68, 60, 87"
Jessica,Velasquez,rowlandanthony@example.org,"Math, History, English","D, D, B","95, 69, 96"
Thomas,Ruiz,michele64@example.org,"History, English, Math","A, A, C","85, 53, 93"
Michelle,Mercer,zhernandez@example.org,"English, Math, History","D, C, C","65, 90, 87"
Caitlin,Wright,smithvalerie@example.com,"History, Math, English","F, F, B","70, 95, 97"
Matthew,Welch,warrenjared@example.org,"English, History, Math","F, D, C","81, 54, 73"
Christian,Ross,timothy57@example.com,"History, Math, English","A, D, B","67, 82, 75"
Kimberly,Sanchez,jeffrey02@example.org,"English, Math, History","F, F, A","76, 53, 97"
Timothy,Stanton,jonathanstewart@example.net,"English, Math, History","B, B, D","94, 100, 60"
Hannah,Hall,mturner@example.net,"English, Math, History","C, F, A","91, 72, 90"
Jose,Bennett,limegan@example.net,"English, Math, History","D, D, D","94, 56, 69"
Tracy,Snyder,jonestimothy@example.org,"History, Math, English","D, C, C","78, 62, 90"
April,Hill,nicholsvictor@example.org,"English, History, Math","B, A, F","50, 88, 63"
Jody,Finley,maymichael@example.net,"Math, English, History","A, F, D","93, 79, 83"
Amanda,Boyd,krista35@example.org,"English, Math, History","A, B, C","91, 96, 98"
Allison,Simpson,vross@example.org,"History, English, Math","F, D, D","99, 51, 87"
Maria,Jordan,njackson@example.org,"History, English, Math","C, B, C","87, 77, 90"
Allen,Baird,perezkimberly@example.org,"English, History, Math","A, A, C","61, 96, 95"
Leroy,Buchanan,durankaren@example.com,"History, English, Math","F, F, A","81, 56, 85"
Charles,Meyer,michaeldavis@example.net,"English, Math, History","C, D, F","87, 87, 54"
Diane,Walker,agomez@example.net,"History, English, Math","B, C, A","73, 86, 73"
Jonathan,Rowland,riveramelissa@example.com,"Math, History, English","B, B, D","79, 75, 64"
Thomas,Cabrera,debraperez@example.org,"English, History, Math","D, D, C","69, 90, 88"
Larry,Richardson,mary59@example.com,"History, English, Math","D, A, C","86, 91, 67"
Lori,Marshall,teresacochran@example.com,"English, History, Math","D, D, F","97, 56, 81"
Thomas,House,mikaylabonilla@example.org,"History, English, Math","B, B, F","68, 66, 54"
Alexander,Jefferson,browndanielle@example.com,"Math, English, History","A, C, A","87, 76, 84"
Jessica,Russell,mwoods@example.net,"Math, English, History","B, D, C","87, 72, 80"
Eric,Schmidt,nicholas10@example.net,"History, Math, English","B, F, C","72, 78, 78"
Alison,Mcgee,henrykatherine@example.org,"Math, English, History","C, C, C","50, 79, 97"
Kristina,Beck,michaelshepherd@example.net,"Math, History, English","F, C, F","88, 64, 56"
Derek,Carr,rachel70@example.com,"Math, English, History","A, A, F","54, 65, 54"
Michael,Tucker,ericwells@example.net,"English, History, Math","A, A, B","61, 65, 53"
Jessica,Meyer,colejones@example.org,"English, History, Math","C, B, C","91, 92, 94"
Jason,Martinez,mariahowell@example.net,"History, English, Math","F, A, B","100, 80, 63"
Catherine,Vargas,cochrankristopher@example.com,"History, Math, English","D, C, A","81, 76, 70"
Kaitlyn,Barker,abentley@example.com,"Math, English, History","B, F, B","77, 66, 51"
Phillip,Chandler,williamsonmicheal@example.net,"Math, English, History","A, C, A","88, 60, 68"
Ross,Salazar,dballard@example.org,"English, History, Math","D, C, D","92, 86, 97"
Chris,Zimmerman,marissa74@example.net,"English, History, Math","A, C, F","53, 83, 56"
Melissa,Coleman,lisa55@example.org,"History, Math, English","A, A, A","96, 98, 77"
Patrick,Pitts,raygabrielle@example.org,"Math, History, English","D, C, A","92, 99, 73"
Rebecca,Wilkinson,vjuarez@example.net,"History, English, Math","B, B, D","73, 54, 71"
David,Garrison,nwilliams@example.net,"History, English, Math","C, C, C","97, 68, 100"
Megan,Martinez,nicoleking@example.net,"Math, History, English","C, A, C","77, 92, 64"
Amy,Jimenez,chambersedward@example.org,"English, Math, History","F, B, C","76, 63, 50"
Robin,Garcia,linda49@example.net,"Math, History, English","A, F, D","92, 73, 85"
Walter,Graham,rwest@example.org,"English, History, Math","D, B, A","76, 95, 70"
Shelly,Lopez,bryantnancy@example.org,"Math, English, History","C, A, B","92, 91, 58"
Linda,Compton,croberts@example.com,"English, Math, History","A, C, C","63, 62, 75"
Sara,Wright,whitetara@example.org,"English, History, Math","C, F, A","62, 55, 73"
Adam,Underwood,zbennett@example.com,"English, History, Math","D, C, F","94, 67, 80"
Christine,Wood,zallen@example.net,"History, English, Math","C, B, F","60, 74, 74"
Elizabeth,Garza,rangelalan@example.org,"Math, English, History","B, F, B","84, 94, 77"
Erica,Walter,trankevin@example.org,"English, History, Math","F, F, F","78, 87, 56"
Wendy,Rivera,brendamaynard@example.net,"History, Math, English","A, B, A","66, 69, 96"
Leah,Lopez,gonzalezbrett@example.com,"English, Math, History","F, D, B","72, 94, 72"
Paula,York,dannydavis@example.org,"History, Math, English","A, D, A","73, 96, 68"
Richard,Strickland,anthony81@example.com,"English, History, Math","A, A, A","69, 62, 98"
Joshua,Moore,david14@example.com,"Math, English, History","D, D, D","98, 99, 85"
Kevin,Davis,roger71@example.org,"Math, History, English","A, C, C","81, 65, 67"
Eric,Hale,joshuajensen@example.net,"English, Math, History","D, C, A","54, 64, 76"
Amy,Cole,olsonjason@example.org,"Math, History, English","D, D, B","99, 63, 89"
Joan,Powell,robert52@example.net,"English, History, Math","D, C, C","99, 69, 69"
Megan,Hensley,swise@example.com,"Math, English, History","F, C, B","89, 55, 59"
Wendy,Williams,ccombs@example.org,"English, History, Math","F, A, B","87, 91, 64"
Stacy,Walters,fvaldez@example.org,"History, English, Math","D, F, A","53, 94, 59"
Crystal,Murphy,danny16@example.net,"History, Math, English","F, A, A","62, 65, 87"
Patricia,Randall,yholmes@example.net,"English, Math, History","D, A, B","50, 62, 84"
Colin,Chang,dunnbriana@example.com,"Math, English, History","F, A, F","52, 76, 69"
Dustin,Smith,nharris@example.org,"English, History, Math","C, F, F","58, 51, 67"
Edward,Yates,laurarodriguez@example.com,"English, History, Math","D, F, C","56, 57, 89"
Robert,Gonzalez,petersonangela@example.org,"English, History, Math","D, A, C","56, 71, 73"
Anna,Henry,ryan43@example.net,"History, Math, English","B, F, F","63, 92, 93"
David,Gonzales,ejones@example.net,"English, Math, History","D, C, C","84, 85, 85"
Megan,Johnson,alexandranolan@example.net,"English, Math, History","C, F, C","98, 57, 81"
Victoria,Navarro,mesparza@example.net,"English, Math, History","C, F, B","93, 69, 67"
Alicia,Drake,vjohnson@example.net,"Math, English, History","A, D, A","79, 64, 61"
Brent,Cervantes,nguyenjohn@example.org,"History, Math, English","C, C, F","78, 90, 67"
Patrick,Perez,nolankevin@example.com,"History, English, Math","C, A, D","52, 75, 68"
Marissa,Wallace,kenneth86@example.com,"English, History, Math","A, F, F","88, 100, 82"
Eric,Olson,april90@example.org,"English, Math, History","D, D, D","81, 53, 85"
Anna,Sullivan,ashleymelanie@example.org,"English, Math, History","B, B, D","60, 95, 51"
Ashley,Hammond,butleranthony@example.net,"English, History, Math","C, C, A","97, 56, 58"
Mark,Yang,jasonkelly@example.net,"Math, History, English","D, F, A","68, 81, 78"
Wayne,Malone,davidsonalexander@example.com,"English, History, Math","A, D, C","78, 85, 77"
Edward,Shepherd,robertbean@example.net,"History, Math, English","A, F, A","55, 99, 74"
Monica,Levine,william05@example.net,"Math, English, History","F, C, C","100, 66, 83"
Stephen,Ruiz,angela02@example.org,"History, Math, English","A, C, D","98, 87, 87"
Todd,Coleman,landrydavid@example.org,"Math, History, English","F, D, A","61, 65, 97"
Danielle,Walker,barbara85@example.net,"English, Math, History","F, A, D","100, 66, 96"
Sarah,Matthews,stephen48@example.com,"Math, History, English","A, B, D","97, 80, 67"
Tanya,Hamilton,ewelch@example.com,"Math, English, History","A, D, D","77, 96, 69"
Katherine,Ward,alyssa46@example.com,"History, English, Math","C, D, F","80, 66, 89"
Brian,Ortiz,janice48@example.org,"Math, History, English","C, A, A","60, 90, 89"
Derrick,Chapman,curtis83@example.com,"History, English, Math","C, F, A","58, 100, 57"
Taylor,Long,lutzkevin@example.com,"History, Math, English","B, D, B","88, 95, 67"
Lisa,Davis,lauramoore@example.org,"English, History, Math","A, D, B","82, 61, 76"
Jeremy,Pugh,amatthews@example.net,"English, History, Math","B, D, D","75, 92, 53"
Ricky,Evans,hjones@example.net,"Math, History, English","D, C, C","92, 89, 94"
Shirley,Young,sweeneyphillip@example.net,"History, Math, English","F, B, D","56, 70, 89"
Cheryl,Beard,mcox@example.org,"English, Math, History","F, F, B","89, 88, 88"
Carlos,Lopez,walkerdenise@example.com,"History, English, Math","C, C, C","81, 56, 72"
Lance,Molina,sroman@example.com,"Math, English, History","C, B, A","87, 90, 62"
Sarah,Goodman,nicholas46@example.org,"English, History, Math","C, C, D","58, 72, 74"
Brian,Palmer,linda69@example.net,"English, Math, History","A, D, A","68, 66, 74"
Scott,Douglas,cbass@example.net,"English, History, Math","C, A, A","55, 92, 90"
Linda,Brown,jennifer84@example.org,"Math, History, English","B, C, A","65, 75, 67"
Wesley,Andrews,susan28@example.net,"English, Math, History","B, F, C","87, 71, 98"
Kimberly,Keith,dadams@example.com,"English, Math, History","A, B, F","95, 94, 99"
Cory,Mason,tbyrd@example.org,"Math, History, English","B, B, C","87, 73, 59"
Cindy,Porter,oorr@example.net,"English, Math, History","B, C, D","87, 89, 78"
Luis,Dunn,ujackson@example.com,"English, Math, History","B, C, A","99, 88, 74"
Shannon,Elliott,peter83@example.org,"History, English, Math","B, A, B","97, 96, 54"
Abigail,Vargas,guzmansarah@example.com,"History, English, Math","B, B, F","87, 59, 71"
Gary,Hall,vparker@example.org,"Math, History, English","F, F, C","98, 78, 69"
Ricky,Mcclain,jonathanwilkins@example.org,"History, Math, English","C, B, D","55, 54, 95"
Jessica,Richards,brownsara@example.com,"English, Math, History","F, C, F","50, 99, 100"
Kimberly,Ford,wmartinez@example.com,"History, English, Math","A, A, F","98, 72, 93"
Ellen,Jacobs,smithsteven@example.org,"Math, History, English","D, B, D","83, 95, 70"
